,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
0,TC200001,Alex,A,2,2000-01-16 18:00:00,2000-01-17 00:00:00,2000-01-13 06:00:00,2000-01-13 06:00:00,2000-01-13 00:00:00,973.33,-43.77,40.75,973.33,-43.77,40.75,997.12,-20.5,34.25,1001.61,-18.5,35.5,976.39,-45.03,40.61
1,TC200004,Dawn,A,2,2000-03-16 18:00:00,2000-03-18 06:00:00,2000-03-14 12:00:00,2000-03-14 12:00:00,2000-03-13 18:00:00,974.18,-58.07,41.52,974.18,-58.07,41.52,995.91,-55.46,51.57,987.66,-44.42,52.34,984.16,-58.66,38.71
2,TC200013,Phil,A,1,2000-10-25 06:00:00,2000-10-25 18:00:00,2000-10-24 06:00:00,2000-10-24 06:00:00,2000-10-20 06:00:00,990.97,-19.94,38.93,990.97,-19.94,38.93,996.31,-14.54,37.14,999.55,-10.63,37.67,998.37,-38.07,34.2
3,TC200105,Brandon,A,1,2001-09-29 00:00:00,2001-09-29 12:00:00,2001-09-28 12:00:00,2001-09-28 12:00:00,2001-09-17 06:00:00,928.97,-88.7,28.84,928.97,-88.7,28.84,966.21,-87.42,31.07,989.3,-86.53,33.4,1006.88,-41.3,9.16
4,TC200203,Geoffrey,A,1,2002-10-31 06:00:00,2002-11-01 12:00:00,2002-10-30 18:00:00,2002-10-30 18:00:00,2002-10-27 18:00:00,945.46,-32.99,32.83,945.46,-32.99,32.83,953.59,-26.22,37.11,1006.73,-8.75,46.25,986.87,-45.26,28.88
5,TC200304,Maho,A,1,2003-09-07 06:00:00,2003-09-08 00:00:00,2003-09-01 12:00:00,2003-09-01 12:00:00,2003-08-28 18:00:00,983.63,-79.66,26.15,983.63,-79.66,26.15,999.15,-82.99,34.61,1006.06,-77.21,41.16,1000.59,-61.93,19.1
6,TC200403,Andy,A,1,2004-05-08 18:00:00,2004-05-10 12:00:00,2004-05-07 18:00:00,2004-05-07 18:00:00,2004-05-04 18:00:00,978.81,-48.82,33.18,978.81,-48.82,33.18,979.32,-42.93,35.03,986.81,-32.03,47.16,999.74,-57.73,23.93
7,TC200503,Lily,A,1,2005-06-09 12:00:00,2005-06-11 00:00:00,2005-06-09 18:00:00,2005-06-09 06:00:00,2005-06-06 00:00:00,973.25,-74.52,35.84,988.91,-79.97,31.97,979.25,-77.06,33.41,1000.72,-61.75,44.25,1009.9,-88.83,19.31
8,TC200507,Shannon,A,2,2005-08-15 12:00:00,2005-08-15 18:00:00,2005-08-16 12:00:00,2005-08-13 06:00:00,2005-08-12 12:00:00,998.88,-55.52,41.09,1009.66,-76.51,34.5,1010.88,-67.43,36.64,1006.79,-64.99,37.94,1011.96,-77.42,33.15
9,TC200510,Ana,A,1,2005-09-09 12:00:00,2005-09-11 06:00:00,2005-09-07 00:00:00,2005-09-07 00:00:00,2005-08-31 18:00:00,897.7,-60.07,23.57,897.7,-60.07,23.57,933.51,-60.82,37.35,959.0,-43.52,47.85,1008.05,-26.53,13.2
10,TC200602,Kannas,A,1,2006-10-06 00:00:00,2006-10-09 00:00:00,2006-10-04 18:00:00,2006-10-04 18:00:00,2006-09-30 18:00:00,980.26,-21.8,39.54,980.26,-21.8,39.54,985.95,-17.35,41.79,1015.36,-10.5,36.75,1005.61,-34.54,39.51
11,TC200603,Lomy,A,1,2006-10-11 06:00:00,2006-10-11 12:00:00,2006-10-08 06:00:00,2006-10-08 06:00:00,2006-10-06 06:00:00,998.87,-34.03,42.27,998.87,-34.03,42.27,1015.19,-37.75,36.75,1015.8,-37.5,36.0,1004.45,-46.46,39.96
12,TC200705,Tatiana,A,1,2007-10-19 18:00:00,2007-10-22 18:00:00,2007-10-19 12:00:00,2007-10-19 12:00:00,2007-10-10 12:00:00,916.14,-46.13,32.35,916.14,-46.13,32.35,924.91,-44.37,33.2,992.79,-6.25,42.97,1003.87,-44.4,35.31
13,TC200706,William,A,3,2007-11-27 00:00:00,2007-11-27 00:00:00,2007-11-24 06:00:00,2007-11-24 06:00:00,2007-11-21 00:00:00,967.62,-46.96,29.03,967.62,-46.96,29.03,1002.21,-35.0,36.0,1002.21,-35.0,36.0,996.42,-65.74,31.41
14,TC200707,Aidan,A,1,2007-12-20 06:00:00,2007-12-20 18:00:00,2007-12-18 18:00:00,2007-12-18 18:00:00,2007-12-18 00:00:00,974.74,-54.56,38.96,974.74,-54.56,38.96,979.55,-45.95,41.33,986.62,-41.83,43.18,981.81,-55.51,40.26
15,TC200805,Greta,A,1,2008-05-11 00:00:00,2008-05-12 00:00:00,2008-05-12 06:00:00,2008-05-10 18:00:00,2008-05-07 00:00:00,986.1,-36.31,50.76,992.56,-60.3,40.19,991.64,-58.81,42.07,996.14,-42.2,48.86,1008.31,-62.8,23.82
16,TC200809,Laura,A,1,2008-09-17 18:00:00,2008-09-19 00:00:00,2008-09-15 00:00:00,2008-09-15 00:00:00,2008-09-09 00:00:00,896.1,-92.95,27.71,896.1,-92.95,27.71,996.67,-95.38,36.22,997.19,-92.88,40.2,1007.8,-56.2,15.09
17,TC200810,Manuel,A,3,2008-09-25 06:00:00,2008-09-25 06:00:00,2008-09-26 06:00:00,2008-09-24 12:00:00,2008-09-21 18:00:00,995.75,-35.0,55.0,1001.2,-60.48,43.09,1002.0,-54.25,46.5,1002.0,-54.25,46.5,1006.25,-64.7,37.6
18,TC200811,Naomi,A,1,2008-10-02 12:00:00,2008-10-05 06:00:00,2008-10-01 06:00:00,2008-10-01 06:00:00,2008-09-25 00:00:00,914.43,-56.81,24.39,914.43,-56.81,24.39,926.67,-51.94,27.77,964.49,-21.75,52.5,1007.26,-40.79,14.65
19,TC200903,Emmelyn,A,1,2009-08-30 00:00:00,2009-08-31 12:00:00,2009-08-26 18:00:00,2009-08-26 18:00:00,2009-08-21 00:00:00,938.74,-66.95,29.43,938.74,-66.95,29.43,948.16,-61.86,40.75,975.3,-45.84,50.14,1009.94,-40.86,11.82
20,TC201003,Mary,A,1,2010-10-24 18:00:00,2010-10-25 12:00:00,2010-10-24 18:00:00,2010-10-24 12:00:00,2010-10-21 12:00:00,979.96,-54.46,39.23,986.73,-57.49,37.13,979.96,-54.46,39.23,1006.41,-42.5,44.54,1008.03,-63.07,29.58
21,TC201004,Nabil,A,1,2010-11-05 12:00:00,2010-11-06 06:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2010-10-26 18:00:00,953.3,-68.93,34.62,953.3,-68.93,34.62,991.23,-49.05,44.33,1004.45,-39.59,42.77,1008.56,-65.84,24.08
22,TC201206,Romeo,A,3,2012-10-22 06:00:00,2012-10-22 06:00:00,2012-10-20 12:00:00,2012-10-20 12:00:00,2012-10-18 00:00:00,977.18,-91.66,28.77,977.18,-91.66,28.77,1000.84,-88.78,39.61,1000.84,-88.78,39.61,998.75,-88.47,27.45
23,TC201301,Sofiee,A,1,2013-01-23 18:00:00,2013-01-24 06:00:00,2013-01-20 00:00:00,2013-01-20 00:00:00,2013-01-19 12:00:00,956.72,-34.66,49.39,956.72,-34.66,49.39,994.56,-16.56,49.1,1000.73,-10.0,47.5,963.06,-42.66,44.29
24,TC201305,Bernardo,A,1,2013-08-31 12:00:00,2013-08-31 18:00:00,2013-08-29 06:00:00,2013-08-29 06:00:00,2013-08-19 18:00:00,959.79,-63.59,34.86,959.79,-63.59,34.86,1001.65,-55.68,48.25,1001.43,-51.43,50.32,1007.27,-16.52,12.63
25,TC201308,Flavia,A,1,2013-10-13 18:00:00,2013-10-18 00:00:00,2013-10-10 12:00:00,2013-10-10 12:00:00,2013-10-07 18:00:00,963.94,-58.85,27.67,963.94,-58.85,27.67,997.88,-53.55,32.09,990.17,-15.63,37.21,1008.33,-56.34,28.28
26,TC201309,Gareth,A,1,2013-10-26 18:00:00,2013-10-30 06:00:00,2013-10-29 12:00:00,2013-10-25 18:00:00,2013-10-21 00:00:00,981.73,-50.71,33.04,989.46,-79.09,20.36,994.38,-75.76,24.38,988.93,-40.03,35.15,1007.48,-71.13,9.64
27,TC201404,Oscar,A,1,2014-09-09 06:00:00,2014-09-10 06:00:00,2014-09-07 18:00:00,2014-09-07 18:00:00,2014-08-28 06:00:00,946.7,-47.28,39.13,946.7,-47.28,39.13,960.91,-35.49,45.24,983.3,-23.24,50.47,1005.14,-24.56,10.77
28,TC201501,Yoshi,A,1,2015-02-10 18:00:00,2015-02-12 06:00:00,2015-02-11 12:00:00,2015-02-10 12:00:00,2015-02-09 00:00:00,976.07,-37.77,44.82,990.51,-32.73,39.36,987.73,-31.66,40.98,994.3,-36.83,41.45,997.52,-39.32,34.8
29,TC201503,Brenda,A,1,2015-02-22 00:00:00,2015-02-26 06:00:00,2015-02-20 12:00:00,2015-02-20 12:00:00,2015-02-16 00:00:00,965.8,-58.66,38.71,965.8,-58.66,38.71,973.16,-54.06,32.47,988.88,-11.5,39.94,1003.31,-69.12,23.87
30,TC201506,Facundo,A,1,2015-07-19 18:00:00,2015-07-21 00:00:00,2015-07-19 18:00:00,2015-07-19 12:00:00,2015-07-15 18:00:00,987.83,-62.18,41.71,988.15,-64.94,39.76,987.83,-62.18,41.71,1000.1,-44.75,47.02,1018.93,-80.75,31.37
31,TC201510,Kelechi,A,1,2015-12-23 18:00:00,2015-12-24 12:00:00,2015-12-24 18:00:00,2015-12-23 06:00:00,2015-12-21 06:00:00,978.15,-7.0,38.07,978.92,-18.77,32.27,978.86,-16.6,32.44,980.05,-9.47,35.26,983.72,-28.73,32.06
32,TC201603,Olivia,A,3,2016-08-24 00:00:00,2016-08-24 00:00:00,2016-08-19 18:00:00,2016-08-19 18:00:00,2016-08-18 06:00:00,983.43,-96.86,28.22,983.43,-96.86,28.22,1010.46,-87.97,38.91,1010.46,-87.97,38.91,1004.72,-89.35,23.87
33,TC201605,Seldoen,A,3,2016-12-06 06:00:00,2016-12-06 06:00:00,2016-12-02 18:00:00,2016-12-02 18:00:00,2016-11-27 00:00:00,997.08,-35.98,33.83,997.08,-35.98,33.83,1005.49,-33.49,42.76,1005.49,-33.49,42.76,1014.7,-35.45,32.85
34,TC201706,Dylan,A,1,2017-12-07 00:00:00,2017-12-07 12:00:00,2017-12-04 06:00:00,2017-12-04 06:00:00,2017-12-02 12:00:00,973.16,-53.54,34.37,973.16,-53.54,34.37,993.85,-36.7,48.9,996.89,-26.94,50.96,979.6,-63.51,31.6
35,TC201801,Giovanni,A,2,2018-04-19 12:00:00,2018-04-20 06:00:00,2018-04-16 12:00:00,2018-04-16 12:00:00,2018-04-15 18:00:00,975.55,-35.16,38.65,975.55,-35.16,38.65,1000.81,-28.5,41.75,1009.95,-25.75,43.0,987.32,-35.71,35.61
36,TC201802,Ivy,A,1,2018-06-25 06:00:00,2018-06-27 18:00:00,2018-06-23 06:00:00,2018-06-23 06:00:00,2018-06-19 18:00:00,990.73,-82.27,27.22,990.73,-82.27,27.22,1000.98,-69.08,33.87,1006.76,-46.73,44.22,1012.02,-81.02,30.18
37,TC201803,Jack,A,1,2018-11-16 06:00:00,2018-11-17 06:00:00,2018-11-16 18:00:00,2018-11-16 00:00:00,2018-11-13 06:00:00,978.25,-50.26,45.55,985.15,-54.1,39.14,982.86,-52.82,41.04,979.76,-44.78,49.61,997.81,-56.84,29.51
38,TC201903,Michelle,A,1,2019-10-01 18:00:00,2019-10-04 06:00:00,2019-10-02 18:00:00,2019-10-01 06:00:00,2019-09-28 12:00:00,946.6,-29.32,33.02,960.17,-39.2,31.36,973.07,-38.15,30.16,1001.37,-24.22,43.23,1010.97,-38.72,18.42
39,TC202002,Beatrice,A,1,2020-02-22 06:00:00,2020-02-22 12:00:00,2020-02-19 18:00:00,2020-02-19 18:00:00,2020-02-19 12:00:00,977.86,-57.95,38.17,977.86,-57.95,38.17,1000.79,-45.24,32.38,1002.41,-43.72,31.59,979.01,-59.82,38.2
40,TC202003,Colin,A,1,2020-04-10 12:00:00,2020-04-11 00:00:00,2020-04-12 06:00:00,2020-04-09 06:00:00,2020-04-03 18:00:00,988.55,-33.25,44.5,992.69,-50.37,34.59,995.57,-49.53,36.98,995.68,-46.01,39.17,1014.27,-74.9,29.63
41,TC202006,Grace,A,1,2020-08-19 18:00:00,2020-08-20 06:00:00,2020-08-18 18:00:00,2020-08-18 18:00:00,2020-08-10 18:00:00,947.9,-75.55,36.12,947.9,-75.55,36.12,988.26,-72.59,43.04,998.72,-67.32,47.37,1007.71,-33.72,16.7
42,TC202007,Harrison,A,1,2020-09-16 00:00:00,2020-09-17 12:00:00,2020-09-09 18:00:00,2020-09-09 18:00:00,2020-09-06 18:00:00,984.06,-39.13,21.44,984.06,-39.13,21.44,1001.38,-45.03,38.05,1005.65,-34.25,34.0,1008.55,-23.26,13.03
43,TC202009,Kinen,A,1,2020-09-28 00:00:00,2020-09-28 18:00:00,2020-09-24 00:00:00,2020-09-24 00:00:00,2020-09-18 00:00:00,924.21,-77.74,26.92,924.21,-77.74,26.92,961.75,-65.08,41.88,974.92,-57.37,44.79,1005.14,-44.17,11.96
44,TC202010,Lydia,A,1,2020-10-14 18:00:00,2020-10-15 06:00:00,2020-10-13 06:00:00,2020-10-13 06:00:00,2020-10-03 12:00:00,948.1,-48.11,32.42,948.1,-48.11,32.42,983.57,-43.09,43.22,995.22,-35.84,48.52,1008.35,-15.6,10.39
45,TC202011,Mario,A,1,2020-11-06 00:00:00,2020-11-06 12:00:00,2020-11-06 06:00:00,2020-11-04 06:00:00,2020-11-03 18:00:00,987.69,-49.07,47.03,995.1,-43.05,34.43,989.3,-49.1,43.53,992.07,-48.34,49.55,1002.31,-39.6,32.22
46,TC202107,Christine,A,1,2021-09-12 06:00:00,2021-09-14 18:00:00,2021-09-13 06:00:00,2021-09-12 00:00:00,2021-09-09 00:00:00,991.55,-41.77,40.95,996.72,-55.63,38.3,993.31,-53.26,39.46,1002.56,-29.5,48.0,1011.37,-63.91,35.58
47,TC202204,Luke,A,3,2022-12-05 06:00:00,2022-12-05 06:00:00,2022-12-03 18:00:00,2022-12-03 18:00:00,2022-12-01 12:00:00,966.88,-30.11,43.61,966.88,-30.11,43.61,974.87,-17.15,46.23,974.87,-17.15,46.23,1001.75,-34.56,29.76
48,TC202304,Samson,A,2,2023-04-14 12:00:00,2023-04-15 00:00:00,2023-04-11 06:00:00,2023-04-11 06:00:00,2023-04-09 06:00:00,983.08,-50.55,36.97,983.08,-50.55,36.97,995.3,-44.71,34.66,999.91,-41.25,33.0,996.35,-48.77,34.37
49,TC202308,Bonnie,A,1,2023-09-04 12:00:00,2023-09-06 00:00:00,2023-09-04 06:00:00,2023-09-04 06:00:00,2023-08-25 06:00:00,948.26,-67.14,36.3,948.26,-67.14,36.3,956.99,-64.75,36.93,989.02,-42.66,44.29,1009.14,-47.57,17.32
50,TC202310,Dorcas,A,2,2023-11-08 12:00:00,2023-11-10 12:00:00,2023-11-03 06:00:00,2023-11-03 06:00:00,2023-11-03 12:00:00,997.79,-37.91,35.96,997.79,-37.91,35.96,1009.62,-37.57,28.82,1012.94,-31.25,30.25,999.74,-38.06,35.71
51,TC202406,Lily,A,2,2024-10-13 06:00:00,2024-10-15 12:00:00,2024-10-08 06:00:00,2024-10-08 06:00:00,2024-10-05 12:00:00,981.48,-36.37,11.97,981.48,-36.37,11.97,1007.64,-59.86,29.74,1000.05,-50.5,46.0,1008.04,-19.52,8.66
52,TC202503,Shannon,A,1,2025-09-11 12:00:00,2025-09-16 06:00:00,2025-09-10 12:00:00,2025-09-10 12:00:00,2025-09-05 18:00:00,941.01,-63.11,34.22,941.01,-63.11,34.22,947.84,-56.33,38.85,1013.47,-28.25,38.25,1010.3,-52.28,20.9
53,TC202504,Thomas,A,3,2025-10-06 18:00:00,2025-10-06 18:00:00,2025-10-08 06:00:00,2025-10-05 00:00:00,2025-10-01 18:00:00,986.0,-55.0,50.5,999.43,-84.27,31.51,1010.1,-80.21,36.77,1010.1,-80.21,36.77,1011.27,-76.02,28.17
54,TC202505,Winnie,A,1,2025-11-13 18:00:00,2025-11-14 00:00:00,2025-11-11 18:00:00,2025-11-11 18:00:00,2025-11-10 00:00:00,992.23,-42.23,30.35,992.23,-42.23,30.35,1008.2,-42.75,31.75,1011.4,-42.75,31.5,1001.41,-49.52,32.69
55,TC202508,Cissy,A,3,2025-12-15 00:00:00,2025-12-15 00:00:00,2025-12-13 06:00:00,2025-12-13 06:00:00,2025-12-10 18:00:00,975.23,-62.73,42.34,975.23,-62.73,42.34,982.2,-47.5,40.99,982.2,-47.5,40.99,1006.26,-63.12,34.85
56,TC202703,Kannas,A,1,2027-06-30 00:00:00,2027-06-30 18:00:00,2027-06-27 18:00:00,2027-06-27 18:00:00,2027-06-24 06:00:00,970.99,-57.49,28.58,970.99,-57.49,28.58,996.76,-47.57,40.05,1013.03,-36.68,43.91,1010.52,-53.76,19.1
57,TC202706,Nathan,A,2,2027-11-21 12:00:00,2027-11-22 06:00:00,2027-11-17 06:00:00,2027-11-17 06:00:00,2027-11-14 12:00:00,974.82,-32.0,30.9,974.82,-32.0,30.9,1006.6,-11.75,34.0,1009.69,-7.5,37.0,999.56,-53.33,26.91
58,TC202709,Tatiana,A,1,2027-12-21 00:00:00,2027-12-21 12:00:00,2027-12-18 18:00:00,2027-12-18 18:00:00,2027-12-18 00:00:00,992.02,-27.01,36.59,992.02,-27.01,36.59,995.88,-16.99,33.33,994.96,-15.02,33.46,1002.0,-29.05,28.81
59,TC202801,William,A,3,2028-02-15 12:00:00,2028-02-15 12:00:00,2028-02-14 18:00:00,2028-02-14 18:00:00,2028-02-13 12:00:00,972.56,-42.5,32.83,972.56,-42.5,32.83,980.01,-32.91,35.03,980.01,-32.91,35.03,983.1,-52.64,37.0
60,TC202802,Aidan,A,1,2028-02-26 06:00:00,2028-02-26 12:00:00,2028-02-23 18:00:00,2028-02-23 18:00:00,2028-02-21 18:00:00,945.28,-37.64,39.0,945.28,-37.64,39.0,996.14,-13.05,38.29,1002.81,-11.5,38.0,977.09,-67.75,27.8
61,TC202805,Diana,A,3,2028-09-04 06:00:00,2028-09-04 06:00:00,2028-08-26 18:00:00,2028-08-26 18:00:00,2028-08-17 06:00:00,925.69,-79.11,30.67,925.69,-79.11,30.67,997.84,-68.59,44.01,997.84,-68.59,44.01,1009.64,-37.21,13.21
